user_id,person,current_age,retirement_age,birth_year,birth_month,gender,city,state,zipcode,per_capita_income_zipcode,yearly_income_person,total_debt,fico_score
63,Erik Chen,44,67,1975,3,Male,Ogden,UT,84414,23165.0,47227.0,151030.0,760
64,Gatlin Morris,22,68,1997,10,Male,Fort Worth,TX,76115,12051.0,24574.0,80667.0,674
65,Eloise Bennett,29,65,1991,1,Female,Saint Albans,NY,11412,21283.0,43397.0,42168.0,697
66,Leighton Wood,28,72,1991,6,Female,Oxford,MD,21654,28497.0,58105.0,70254.0,688
67,Layne Butler,82,67,1937,6,Male,Gonzales,TX,78629,15092.0,10869.0,1820.0,820
68,Janiyah Foster,90,66,1929,6,Female,Allentown,PA,18102,12427.0,19893.0,1712.0,566
69,Jagger Braun,63,65,1956,8,Male,Mount Vernon,OH,43050,18019.0,36743.0,71719.0,612
70,Brianna Powell,49,70,1970,7,Female,Trenton,NJ,8610,22747.0,46377.0,79980.0,719
71,Elle Clark,36,69,1983,10,Female,Gardena,CA,90248,24611.0,50179.0,110515.0,743
72,Nathan Merkel,30,65,1989,11,Male,Petaluma,CA,94955,26748.0,54537.0,121987.0,765
73,Kristopher Nelson,23,66,1996,12,Male,Apopka,FL,32712,24155.0,49255.0,6557.0,823
74,Asher Ortiz,42,65,1977,10,Male,Summit Argo,IL,60501,15221.0,31031.0,21853.0,744
75,Tristian Walker,65,66,1955,1,Male,Rockwall,TX,75032,34659.0,70673.0,87605.0,714
76,Emily Parker,87,57,1932,10,Female,Birmingham,AL,35211,13263.0,16342.0,1758.0,747
77,Dangelo Ortiz,22,65,1997,9,Male,Seminole,TX,79360,15183.0,30961.0,42597.0,677
78,Ariana Cook,58,67,1961,3,Female,Islandton,SC,29929,14864.0,30305.0,23392.0,776
79,Santana Myers,30,68,1989,3,Male,Edmond,OK,73034,33736.0,68784.0,198417.0,696
80,Faye Walker,25,71,1994,8,Female,Kalispell,MT,59901,17040.0,34745.0,26503.0,691
81,Rebecca Gonzalez,18,67,2001,11,Female,Baton Rouge,LA,70808,31741.0,64715.0,174664.0,740
82,Nadia Perry,59,69,1961,2,Female,Mars,PA,16046,39464.0,80464.0,76261.0,727
83,Lizbeth Baker,18,67,2002,2,Female,Pittsburgh,PA,15220,24400.0,49748.0,23161.0,748
84,Bryan Fox,61,58,1958,11,Male,Ontario,CA,91764,16113.0,41904.0,12545.0,655
85,Juliette Howard,54,70,1965,9,Female,Newport Coast,CA,92657,96516.0,196784.0,437533.0,729
86,Bella Kelley,27,66,1992,3,Female,Northville,MI,48168,49458.0,100837.0,61377.0,687
87,Jordy Bailey,32,65,1987,6,Male,Fenton,MI,48430,25334.0,51654.0,95454.0,600
88,Amelia Fernandez,64,69,1955,6,Female,Lancaster,OH,43130,18680.0,38088.0,51679.0,691
89,Bjorn Schmidt,18,69,2001,8,Male,Welsh,LA,70591,18082.0,36866.0,0.0,680
90,Skylar James,52,70,1967,9,Male,Oakland,CA,94606,18443.0,37607.0,63689.0,749
91,Mae Farhad,49,66,1970,10,Female,Fort Morgan,CO,80701,16910.0,34480.0,58795.0,696
92,Nikolai Cruz,43,66,1977,1,Male,Madison,WI,53716,23680.0,48279.0,114254.0,719
93,Jared Hill,36,65,1983,7,Male,Panama City,FL,32401,16133.0,32896.0,69800.0,735
94,Jeremias Russell,18,71,2001,6,Male,Perris,CA,92570,14667.0,29909.0,42832.0,664
95,Aubrielle Roman,37,64,1982,12,Female,Minneapolis,MN,55433,23278.0,47464.0,83591.0,716
96,Carla James,23,64,1996,5,Female,San Jose,CA,95129,41750.0,85128.0,108678.0,641
97,Kase Nguyen,54,69,1965,9,Male,Mount Holly,NC,28120,22487.0,45852.0,114746.0,615
98,Annalee Sanders,33,67,1986,7,Female,Glendale,AZ,85301,13024.0,26556.0,43042.0,840
99,Journee Collins,63,67,1956,11,Female,Hollywood,FL,33024,19712.0,40194.0,107765.0,738
100,Trent Davis,22,67,1998,2,Male,Irving,TX,75038,30475.0,62135.0,75209.0,676
101,Zavier Phillips,48,65,1972,1,Male,Cape Coral,FL,33914,19274.0,39303.0,23650.0,702
102,Ivory Peres,63,64,1956,3,Female,Waldorf,MD,20603,35114.0,71593.0,132181.0,821
103,Ace Bailey,75,67,1944,12,Male,Maywood,IL,60153,15451.0,22158.0,19101.0,681
104,Agustin Reyes,62,66,1957,6,Male,Howard Beach,NY,11414,26481.0,53996.0,98211.0,632
105,Hannah Chen,28,73,1991,10,Female,Pensacola,FL,32505,12766.0,26025.0,23971.0,723
106,Zahra Williams,25,69,1994,11,Female,Yonkers,NY,10710,31299.0,63816.0,100128.0,775
107,Estelle Richardson,56,73,1964,1,Female,Apex,NC,27502,32485.0,66230.0,90248.0,742
108,Lochlan Morris,56,56,1963,10,Male,Chicago,IL,60616,25365.0,36335.0,28929.0,676
109,Simone Carter,59,61,1961,2,Female,Westminster,CA,92683,19438.0,39633.0,58586.0,777
110,Zariah Mitchell,43,69,1976,8,Female,Dyer,IN,46311,28048.0,57185.0,0.0,773
111,Samuel Fu,37,69,1982,11,Male,Marietta,GA,30068,40530.0,82637.0,84762.0,739
112,Virginia Gutierrez,60,57,1960,1,Female,Novi,MI,48375,34259.0,31121.0,32768.0,619
113,Isaias Robinson,47,67,1972,11,Male,Gonzales,TX,78629,15092.0,30774.0,51428.0,700
114,Eduardo Wood,48,67,1971,12,Male,Shelbyville,IL,62565,16300.0,33236.0,57549.0,747
115,Parker Howard,35,65,1984,10,Male,Amarillo,TX,79110,18613.0,37947.0,49951.0,683
116,Kendrick Brooks,24,65,1995,11,Male,Wichita,KS,67207,21518.0,43875.0,128146.0,639
117,Maci Diaz,26,66,1993,5,Female,Novato,CA,94947,30335.0,61850.0,81158.0,728
118,Matias Farhad,28,71,1991,5,Male,Savannah,GA,31420,19770.0,40314.0,131348.0,707
119,Silas Ward,26,67,1993,8,Male,Milford,DE,19963,18622.0,37968.0,55982.0,788
120,Roland Gonzalez,41,67,1978,11,Male,Fremont,MI,49412,17145.0,34954.0,45456.0,772
121,Yehuda Jones,40,74,1979,9,Male,Woodland Hills,CA,91364,47055.0,95945.0,222735.0,772
122,Kaelyn Anwar,18,58,2002,2,Female,Fort Gratiot,MI,48059,16598.0,33844.0,42109.0,684
123,Justice Ortiz,66,67,1953,4,Male,Andover,KS,67002,32162.0,65573.0,143069.0,739
124,Messiah Bell,40,66,1979,7,Male,Madison,WI,53704,23840.0,48609.0,43520.0,737
125,Keira Wright,45,70,1974,5,Female,Fernwood,ID,83830,12618.0,25723.0,34007.0,746
126,Caylee Gutierrez,19,72,2000,3,Female,Daphne,AL,36526,25495.0,51984.0,79152.0,691
127,Angel Hill,34,65,1986,2,Male,Oakland,CA,94611,52813.0,107683.0,225017.0,694
128,Bridget Faraday,24,69,1996,2,Female,Perris,CA,92571,16109.0,32847.0,33514.0,721
129,Sebastian Lee,57,66,1963,1,Male,Jackson,MS,39213,11061.0,22556.0,43260.0,645
130,Lizbeth Garcia,35,54,1984,9,Female,Aberdeen,MD,21001,22590.0,46063.0,106528.0,618
131,Ximena Davis,19,65,2000,9,Female,Farmington,CT,6032,46762.0,95348.0,71972.0,706
132,Haley Braun,28,65,1992,1,Female,Wellsville,KS,66092,22158.0,45180.0,13168.0,698
133,Kalel Hughes,37,69,1982,4,Male,Orlando,FL,32822,15137.0,30865.0,55079.0,594
134,Korbin Roman,20,69,1999,11,Male,Avoca,MI,48006,20377.0,41543.0,49021.0,732
135,Kenny Gray,53,73,1966,9,Male,Tyler,TX,75706,14811.0,30198.0,40950.0,693
136,Adilynn Wood,45,64,1974,12,Female,Fort Myers,FL,33901,19621.0,40006.0,72794.0,621
137,Kace Chen,53,68,1966,5,Male,Olathe,KS,66062,30232.0,61646.0,0.0,693
138,Abril Cook,39,67,1980,10,Female,Reisterstown,MD,21136,33175.0,67643.0,0.0,714
139,Ivy Gutierrez,86,71,1933,5,Female,Detroit,MI,48235,13820.0,22650.0,0.0,690
140,Garrett Macron,63,67,1956,10,Male,Brooklyn,NY,11212,14856.0,30288.0,42745.0,689
141,Nolan Sadr,67,65,1952,10,Male,San Francisco,CA,94112,22549.0,47213.0,1082.0,789
142,Marianna Gutierrez,76,66,1943,10,Female,Konawa,OK,74849,15005.0,28215.0,18116.0,697
143,Stetson Thomas,32,55,1987,4,Male,Woodinville,WA,98077,51751.0,105515.0,192458.0,646
144,Vicente Martinez,36,68,1983,12,Male,Bradenton,FL,34207,13972.0,28489.0,6087.0,808
145,Amayah Thomas,63,69,1956,9,Female,Charlotte,NC,28226,39752.0,81048.0,156195.0,781
146,Zelda Ward,19,62,2000,12,Female,Easton,MD,21601,23180.0,47263.0,74853.0,726
147,Drake Howard,19,71,2000,7,Male,Redding,CA,96002,16585.0,33816.0,77770.0,635
148,Danielle Carter,25,69,1994,9,Female,Waukegan,IL,60085,15770.0,32160.0,62803.0,634
149,Kora Bailey,83,65,1936,8,Female,Rio Rico,AZ,85648,15462.0,29494.0,1196.0,689
150,Emery Mitchell,68,63,1951,3,Female,Franklin,TN,37067,36563.0,70554.0,39078.0,655
151,Zayn Nguyen,63,62,1956,9,Male,Wheeling,IL,60090,23098.0,33686.0,24997.0,488
152,Myah Gray,92,72,1927,8,Female,Tucson,AZ,85749,30818.0,57732.0,2261.0,726
153,Cash Watson,21,65,1998,3,Male,Memphis,TN,38106,10730.0,21879.0,69638.0,762
154,Benson Xi,28,65,1991,5,Male,State College,PA,16801,25031.0,51041.0,106989.0,686
155,Bjorn Perez,18,69,2002,1,Male,West Roxbury,MA,2132,34519.0,70380.0,106797.0,725
156,Edward Abe,25,64,1994,8,Male,Elmwood Park,IL,60707,20902.0,42617.0,67590.0,771
157,Shepard Lopez,75,65,1944,7,Male,Manahawkin,NJ,8050,21861.0,46031.0,8332.0,661
158,Estrella Sullivan,55,66,1964,10,Female,Delmar,NY,12054,31927.0,65094.0,23909.0,699
159,Jane Brooks,27,65,1993,2,Female,Lexington,KY,40517,18278.0,37268.0,50388.0,626
160,Zaria Brooks,53,67,1967,2,Female,Waterbury,CT,6705,19114.0,38972.0,44098.0,738
161,Elsa Gonzalez,63,64,1957,2,Female,Compton,CA,90222,13075.0,26661.0,42667.0,750
162,Atticus Abe,48,66,1971,9,Male,Minneapolis,MN,55419,40364.0,82295.0,1555.0,736
163,Alfonso Gao,47,68,1972,9,Male,Lansing,NC,28643,12630.0,25748.0,41455.0,738
164,Ronin White,56,65,1963,11,Male,Bean Station,TN,37708,13668.0,27861.0,108313.0,782
165,Gannon Baker,18,72,2001,12,Male,Redlands,CA,92374,23820.0,48561.0,0.0,752
166,Nicole Gomez,66,69,1953,4,Female,Bloomington,IN,47403,19125.0,38999.0,64875.0,747
167,Korbin Long,62,66,1957,4,Male,Bailey,NC,27807,16239.0,33112.0,56040.0,716
168,Melina Wright,34,66,1985,10,Female,Charlotte,NC,28211,49477.0,100880.0,210445.0,770
169,Briar Smith,22,65,1997,11,Male,Oxnard,CA,93031,18175.0,37058.0,50548.0,680
170,Yahya Anderson,24,58,1995,3,Male,Hyattsville,MD,20785,23166.0,47234.0,89154.0,685
171,Florence Masvidal,45,72,1974,5,Female,Cushing,OK,74023,17237.0,35142.0,107898.0,731
172,Danna Torres,43,65,1976,3,Female,Coos Bay,OR,97420,15069.0,30721.0,49961.0,749
173,Paityn King,56,67,1963,12,Female,Acworth,GA,30101,28862.0,58846.0,126806.0,746
174,Layne Green,29,68,1990,6,Male,Waterville,NY,13480,19161.0,39069.0,63884.0,720
175,Sasha Gao,20,65,2000,2,Female,Lawrenceville,GA,30043,24252.0,49449.0,30723.0,728
176,Yamileth Mitchell,39,73,1980,3,Female,Stearns,KY,42647,10942.0,22312.0,39445.0,720
177,Mateo Robinson,32,72,1987,4,Male,Miami,OK,74355,17845.0,36388.0,92949.0,710
178,Izabella Phillips,52,68,1967,8,Female,Saint Cloud,FL,34771,22086.0,45037.0,31792.0,710
179,Samantha Gonzalez,47,63,1972,10,Female,Waupaca,WI,54981,18937.0,38615.0,74337.0,601
180,Bentlee Garcia,40,61,1979,7,Male,Bronx,NY,10458,13845.0,28229.0,55675.0,622
181,Sarah Clark,58,67,1961,11,Female,Noblesville,IN,46060,24638.0,50232.0,1218.0,751
182,Judah Jones,59,66,1960,5,Male,Greenville,KY,42345,16847.0,34350.0,61639.0,705
183,Bentley Lopez,47,69,1972,11,Male,Canton,GA,30114,25654.0,52308.0,135319.0,679
184,Juliet Hughes,27,66,1992,8,Female,Saint Petersburg,FL,33709,15724.0,32061.0,58904.0,676
185,Javon Long,75,69,1945,2,Male,Tooele,UT,84074,21749.0,21154.0,5764.0,705
186,Allie Sullivan,52,72,1967,10,Female,Austin,TX,78728,25594.0,52186.0,42852.0,737
187,Kassidy Morgan,43,70,1976,5,Female,Pierceton,IN,46562,17294.0,35264.0,70328.0,770
188,Evelynn Diaz,84,71,1935,9,Female,Walnut Creek,CA,94598,42234.0,79870.0,4031.0,609
189,Hayden Myers,70,59,1949,12,Female,Barnstable,MA,2630,26762.0,41902.0,29713.0,633
190,Laura Cook,24,61,1995,8,Female,Las Vegas,NV,89131,31374.0,63969.0,128412.0,626
191,Khalil Morgan,47,68,1972,7,Male,Lyndonville,VT,5851,16976.0,34606.0,23909.0,680
192,Moshe Gutierrez,32,60,1987,11,Male,Atlanta,GA,30310,13059.0,26631.0,33950.0,805
193,Pratik Thomas,39,64,1980,11,Male,Palm Bay,FL,32907,17645.0,35978.0,49366.0,643
194,Myles Robinson,64,69,1955,10,Male,Van Alstyne,TX,75495,24402.0,49756.0,89743.0,618
195,Martin Reed,37,71,1982,6,Male,Nashville,TN,37221,29868.0,60897.0,85771.0,850
196,Elora Schmidt,58,65,1961,3,Female,Dawsonville,GA,30534,20581.0,41963.0,53857.0,741
197,Violet Robinson,37,60,1982,7,Female,Minneapolis,MN,55432,22059.0,44976.0,134335.0,684
198,Phoenix Long,27,69,1992,9,Male,Grand Prairie,TX,75052,22922.0,46733.0,34333.0,692
199,Sue Powell,26,60,1993,4,Female,Centerville,MA,2632,23129.0,47160.0,64193.0,578
200,Tatum Reyes,23,65,1996,7,Male,West Lafayette,IN,47906,24737.0,50433.0,97029.0,838
201,Brennan Diaz,20,63,1999,8,Male,Federal Way,WA,98023,25363.0,51713.0,86165.0,809
202,Emanuel Rivera,45,65,1974,8,Male,Fort Worth,TX,76106,11876.0,24215.0,28552.0,707
203,Gianni Kelly,49,59,1970,9,Male,Caledonia,OH,43314,18293.0,37298.0,52134.0,683
204,Kane Harris,25,67,1994,12,Male,Mesa,AZ,85203,19844.0,40457.0,68826.0,739
205,Willie Nguyen,58,72,1961,6,Male,Arlington,MA,2476,40694.0,82974.0,181429.0,503
206,Evalyn Rogers,46,68,1973,7,Female,Huntington Station,NY,11746,34873.0,71103.0,136853.0,721
207,Jaycee James,43,75,1976,5,Female,Muse,PA,15350,14320.0,29194.0,10895.0,703
208,Killian Thompson,52,67,1967,10,Male,Hendersonville,NC,28739,16410.0,33465.0,98713.0,669
209,Alayna Carter,20,71,1999,6,Female,Warren,OH,44483,15361.0,31314.0,40331.0,721
210,Maximilian Kelly,36,68,1983,7,Male,Tulsa,OK,74110,11633.0,23718.0,1386.0,712
211,Cecilia Thompson,46,66,1973,6,Female,Arnold,MD,21012,35645.0,72670.0,28915.0,718
212,Harley Wright,24,67,1995,4,Female,Dublin,OH,43016,38243.0,77972.0,6128.0,686
213,Jamie Merkel,38,66,1981,10,Female,Van Buren,AR,72956,17093.0,34854.0,40722.0,746
214,Lauren Parker,25,69,1994,12,Female,Mcminnville,OR,97128,18098.0,36902.0,60538.0,711
215,Eva Roman,28,59,1991,12,Female,Saint Petersburg,FL,33706,26476.0,53984.0,76118.0,701
216,Koa Barnes,80,69,1939,3,Male,Whitehouse Station,NJ,8889,46827.0,104692.0,6955.0,704
217,Raven Hall,24,66,1995,5,Female,Kirkland,WA,98033,49629.0,101191.0,290730.0,659
218,Roberto Peres,38,66,1981,10,Male,Ann Arbor,MI,48103,34119.0,69566.0,50003.0,791
219,London Reyes,21,71,1998,4,Male,Villa Park,IL,60181,24223.0,49382.0,43126.0,762
220,Julianna Clark,41,65,1979,1,Female,Bakersville,NC,28705,14093.0,28733.0,0.0,702
221,Makai Ward,87,72,1932,8,Male,Columbia City,IN,46725,19914.0,30349.0,2985.0,686
222,Jayden Diaz,31,68,1988,3,Male,Glen Carbon,IL,62034,28710.0,58538.0,93153.0,610
223,Hazel Collins,32,66,1987,8,Female,Saint Petersburg,FL,33705,18100.0,36901.0,23293.0,695
224,Deacon Bell,70,65,1950,1,Male,Cochranville,PA,19330,24725.0,49531.0,6707.0,737
225,Rafael Cruz,68,66,1951,8,Male,Chicago,IL,60653,20649.0,35370.0,14777.0,562
226,Ruby Farhad,45,62,1975,1,Female,Wooster,OH,44691,18962.0,38666.0,116783.0,822
227,Jewel Baker,24,70,1995,12,Female,Lowell,MA,1851,20458.0,41714.0,54541.0,687
228,Jason Moore,32,66,1987,8,Male,Lottsburg,VA,22511,12018.0,24505.0,52405.0,759
229,Pierce Cooper,43,65,1977,1,Male,Valley Stream,NY,11580,27778.0,56640.0,104134.0,672
230,Lucinda Nelson,53,67,1966,10,Female,Orchard Park,NY,14127,30202.0,61578.0,85383.0,602
231,Fiona Gomez,53,66,1966,11,Female,Rockford,IL,61107,24589.0,50139.0,109623.0,767
232,Mohamed Parker,21,68,1998,12,Male,Minneapolis,KS,67467,16990.0,34646.0,54205.0,759
233,Jaylen Merkel,22,65,1998,1,Male,Fort Worth,TX,76164,12274.0,25024.0,29227.0,691
234,Sydney Fox,41,68,1979,1,Female,Chicago,IL,60619,16114.0,32856.0,26535.0,703
235,Sally Mitchell,41,66,1978,10,Female,Hillsboro,IL,62049,17696.0,36080.0,80443.0,839
236,Marissa Miller,32,68,1987,11,Female,Garland,TX,75042,14535.0,29637.0,56446.0,569
237,Clark Braun,56,65,1964,2,Male,Wewoka,OK,74884,14004.0,28553.0,94214.0,747
238,Sullivan Brown,18,65,2001,9,Male,East Falmouth,MA,2536,21335.0,43499.0,108468.0,701
239,Aubree Howard,35,57,1984,6,Female,Solon,IA,52333,29059.0,59248.0,173887.0,725
240,Nixon Abe,44,65,1975,6,Male,Indianapolis,IN,46236,32865.0,67008.0,81402.0,778
241,Ophelia Martin,31,68,1988,10,Female,Sherman Oaks,CA,91403,51976.0,105963.0,106266.0,684
242,Amos Cox,30,66,1989,4,Male,Montgomery,AL,36117,27653.0,56383.0,130152.0,800
243,Xander Abe,38,78,1981,8,Male,Campbell,TX,75422,18934.0,38609.0,27463.0,740
244,Jase Wilson,48,66,1971,9,Male,Pensacola,FL,32507,17987.0,36671.0,39882.0,850
245,Antonio Evans,28,65,1991,10,Male,Atlanta,GA,30331,19550.0,39860.0,112825.0,728
246,Abril Labelle,18,63,2002,2,Female,Waynesboro,VA,22980,18531.0,37785.0,58187.0,748
247,Terrence Long,50,68,1969,6,Male,Chicago,IL,60657,0.0,2466.0,5521.0,711
248,Addisyn Sanders,68,60,1951,8,Female,Lynn,MA,1902,18682.0,27358.0,13557.0,665
249,Annalee Wood,26,65,1994,1,Female,Powder Springs,GA,30127,25025.0,51024.0,181184.0,602
250,Joslyn Torres,40,64,1979,5,Female,Oklahoma City,OK,73151,49868.0,101679.0,307856.0,592
251,Leighton Sullivan,20,71,1999,6,Male,Lynwood,CA,90262,13632.0,27801.0,0.0,754
252,Ansley Miller,61,69,1958,11,Female,Las Vegas,NV,89122,18897.0,38536.0,72299.0,705
253,Angie Cox,43,70,1976,5,Female,Greenville,SC,29607,24314.0,49577.0,142314.0,694
254,Matteo Moore,24,71,1995,11,Male,Fresno,CA,93710,17985.0,36672.0,49660.0,739
255,Maddux Miller,43,70,1976,11,Male,New Braunfels,TX,78130,19325.0,39404.0,71859.0,723
256,Paola Braun,61,60,1958,5,Female,Badger,IA,50516,18849.0,18452.0,16827.0,741
257,Elaina Kelly,39,69,1980,9,Female,Lombard,IL,60148,27741.0,56562.0,111495.0,712
258,Briana Nelson,90,74,1929,11,Female,Santa Barbara,CA,93103,25249.0,48580.0,1785.0,687
259,Harper Kelley,41,67,1978,4,Female,Hinsdale,NH,3451,20338.0,41469.0,119423.0,659
260,Abril Labelle,52,61,1967,6,Female,Fort Knox,KY,40121,15879.0,32378.0,65919.0,588
261,Edison Nguyen,57,67,1963,1,Male,Reidsville,NC,27320,16888.0,34437.0,0.0,681
262,Emerald Campbell,83,68,1936,11,Female,Marshall,MN,56258,20697.0,33897.0,533.0,705
263,Jaxon Cook,38,64,1981,5,Male,Olympia,WA,98516,24044.0,49023.0,66148.0,583
264,Anne Roman,24,65,1995,12,Female,Chicago,IL,60641,18937.0,38609.0,39867.0,798
265,Spencer Morgan,18,68,2001,11,Female,Corinth,VT,5039,15062.0,30712.0,38054.0,723
266,Prince Masvidal,22,68,1997,7,Male,El Paso,TX,79938,16011.0,32645.0,59851.0,790
267,Lizbeth Jenkins,81,65,1938,10,Female,Edmonds,WA,98026,28248.0,31912.0,2182.0,630
268,Carson Masvidal,30,67,1990,1,Male,Watertown,NY,13601,18401.0,37521.0,65701.0,775
269,Briar Merkel,62,70,1957,8,Female,Jessup,MD,20794,28673.0,58463.0,141151.0,737
270,Magdalena Farhad,36,68,1983,3,Female,Lordsburg,NM,88045,15407.0,31414.0,42233.0,719
